Modulation,Bw,Freq,Status,RePwr,Measure,Delta,PASS/FAIL
QPSK,1.6,8.2,OPERATE,47.70,47.25,0.450000,PASS
QPSK,1.6,23.0,OPERATE,47.20,47.15,0.050000,PASS
QPSK,1.6,41.0,OPERATE,48.20,48.05,0.150000,PASS
QPSK,1.6,56.8,OPERATE,49.20,49.27,-0.070000,PASS
16QAM,1.6,8.2,OPERATE,47.00,46.50,0.500000,PASS
16QAM,1.6,23.0,OPERATE,46.50,46.25,0.250000,PASS
16QAM,1.6,41.0,OPERATE,47.50,47.61,-0.110000,PASS
16QAM,1.6,56.8,OPERATE,48.70,48.73,-0.030000,PASS
64QAM,1.6,8.2,OPERATE,46.80,46.57,0.230000,PASS
64QAM,1.6,23.0,OPERATE,46.50,46.43,0.070000,PASS
64QAM,1.6,41.0,OPERATE,47.50,47.24,0.260000,PASS
64QAM,1.6,56.8,OPERATE,48.50,48.25,0.250000,PASS
QPSK,3.2,8.2,OPERATE,48.20,47.02,1.180000,PASS
QPSK,3.2,23.0,OPERATE,47.40,47.44,-0.040000,PASS
QPSK,3.2,41.0,OPERATE,48.70,48.13,0.570000,PASS
QPSK,3.2,56.8,OPERATE,49.40,48.96,0.440000,PASS
16QAM,3.2,8.2,OPERATE,47.70,47.25,0.450000,PASS
16QAM,3.2,23.0,OPERATE,47.20,47.21,-0.010000,PASS
16QAM,3.2,41.0,OPERATE,48.20,47.78,0.420000,PASS
16QAM,3.2,56.8,OPERATE,49.20,49.59,-0.390000,PASS
64QAM,3.2,8.2,OPERATE,47.50,47.35,0.150000,PASS
64QAM,3.2,23.0,OPERATE,47.00,47.50,-0.500000,PASS
64QAM,3.2,41.0,OPERATE,48.30,48.26,0.040000,PASS
64QAM,3.2,56.8,OPERATE,49.30,49.38,-0.080000,PASS
QPSK,6.4,8.2,OPERATE,46.90,46.24,0.660000,PASS
QPSK,6.4,23.0,OPERATE,46.20,45.63,0.570000,PASS
QPSK,6.4,41.0,OPERATE,47.40,46.53,0.870000,PASS
QPSK,6.4,56.8,OPERATE,48.20,47.83,0.370000,PASS
16QAM,6.4,8.2,OPERATE,47.00,46.10,0.900000,PASS
16QAM,6.4,23.0,OPERATE,46.20,46.06,0.140000,PASS
16QAM,6.4,41.0,OPERATE,47.20,46.81,0.390000,PASS
16QAM,6.4,56.8,OPERATE,48.50,48.26,0.240000,PASS
64QAM,6.4,8.2,OPERATE,46.80,46.75,0.050000,PASS
64QAM,6.4,23.0,OPERATE,46.00,45.93,0.070000,PASS
64QAM,6.4,41.0,OPERATE,47.00,46.91,0.090000,PASS
64QAM,6.4,56.8,OPERATE,48.00,48.09,-0.090000,PASS
